lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch
0.0001,49,,,,,,,,,,,,,
,49,0.4393054246902466,2.599776268005371,0.007016356568783522,0.1723114550113678,0,,,,,,,,
0.0001,99,,,,,,,,,,,,,
,99,0.6406689286231995,4.4882402420043945,0.00951814278960228,0.18232674896717072,0,,,,,,,,
0.0001,149,,,,,,,,,,,,,
,149,0.35679545998573303,2.2145678997039795,0.010787599720060825,0.12455108016729355,0,,,,,,,,
,156,,,,,0,0.3912312984466553,2.5820131301879883,0.012403667904436588,0.12062631547451019,,,,
,156,,,,,0,,,,,0.4200870990753174,2.792466878890991,0.01261598989367485,0.1282242089509964
0.0001,199,,,,,,,,,,,,,
,199,0.43556278944015503,2.9729580879211426,0.006068367511034012,0.13219860196113586,1,,,,,,,,
0.0001,249,,,,,,,,,,,,,
,249,0.328748494386673,2.365363836288452,0.006265533622354269,0.08594657480716705,1,,,,,,,,
0.0001,299,,,,,,,,,,,,,
,299,0.39013972878456116,2.881976842880249,0.00922335870563984,0.0927186906337738,1,,,,,,,,
,313,,,,,1,0.4282044470310211,2.9274590015411377,0.01343527715653181,0.12202328443527222,,,,
,313,,,,,1,,,,,0.4193733334541321,2.8710243701934814,0.013479583896696568,0.11879139393568039
0.0001,349,,,,,,,,,,,,,
,349,0.43452930450439453,3.26117205619812,0.005970657337456942,0.10244143009185791,2,,,,,,,,
0.0001,399,,,,,,,,,,,,,
,399,0.537285327911377,3.764928102493286,0.02456836588680744,0.13622409105300903,2,,,,,,,,
0.0001,449,,,,,,,,,,,,,
,449,0.3526795208454132,2.393685817718506,0.0074987164698541164,0.10581223666667938,2,,,,,,,,
,470,,,,,2,0.4080645740032196,2.6767220497131348,0.008821024559438229,0.13157133758068085,,,,
,470,,,,,2,,,,,0.41171005368232727,2.8606722354888916,0.012502690777182579,0.11314009875059128
0.0001,499,,,,,,,,,,,,,
,499,0.46656113862991333,3.4935860633850098,0.010773477144539356,0.10642902553081512,3,,,,,,,,
0.0001,549,,,,,,,,,,,,,
,549,0.3488118350505829,2.565044641494751,0.00419103167951107,0.08811631798744202,3,,,,,,,,
0.0001,599,,,,,,,,,,,,,
,599,0.2986330986022949,1.4375085830688477,0.009517744183540344,0.14536449313163757,3,,,,,,,,
,627,,,,,3,0.40214264392852783,2.758986711502075,0.01148364320397377,0.11476032435894012,,,,
,627,,,,,3,,,,,0.4059077501296997,2.8242812156677246,0.011180231347680092,0.1122993528842926
0.0001,649,,,,,,,,,,,,,
,649,0.4521633982658386,3.1420485973358154,0.03651968389749527,0.10143885016441345,4,,,,,,,,
0.0001,699,,,,,,,,,,,,,
,699,0.3655741512775421,2.5247750282287598,0.007482610642910004,0.10561403632164001,4,,,,,,,,
0.0001,749,,,,,,,,,,,,,
,749,0.31850725412368774,2.174051284790039,0.010934378020465374,0.09016773104667664,4,,,,,,,,
,784,,,,,4,0.3912582993507385,2.6854560375213623,0.009215613827109337,0.11349710077047348,,,,
,784,,,,,4,,,,,0.40965238213539124,2.8788535594940186,0.01104186475276947,0.11072511225938797
0.0001,799,,,,,,,,,,,,,
,799,0.49472776055336,3.650979518890381,0.006830251310020685,0.12279956787824631,5,,,,,,,,
0.0001,849,,,,,,,,,,,,,
,849,0.47742322087287903,3.5832011699676514,0.015077617019414902,0.10402548313140869,5,,,,,,,,
0.0001,899,,,,,,,,,,,,,
,899,0.4854278564453125,3.4707157611846924,0.012392211705446243,0.12596407532691956,5,,,,,,,,
,941,,,,,5,0.38067635893821716,2.678807020187378,0.009517020545899868,0.1032787561416626,,,,
,941,,,,,5,,,,,0.40824106335639954,2.808544158935547,0.012174424715340137,0.11521236598491669
0.0001,949,,,,,,,,,,,,,
,949,0.378667414188385,2.2440152168273926,0.007228917442262173,0.14703696966171265,6,,,,,,,,
0.0001,999,,,,,,,,,,,,,
,999,0.3793582022190094,2.7371139526367188,0.01774601638317108,0.0879007875919342,6,,,,,,,,
0.0001,1049,,,,,,,,,,,,,
,1049,0.3436875343322754,2.4857921600341797,0.015387369319796562,0.07972094416618347,6,,,,,,,,
,1098,,,,,6,0.4077205955982208,2.8409323692321777,0.013849019072949886,0.10977838188409805,,,,
,1098,,,,,6,,,,,0.41444340348243713,2.8973283767700195,0.012203210033476353,0.11250743269920349
0.0001,1099,,,,,,,,,,,,,
,1099,0.3095856308937073,2.253993034362793,0.013812345452606678,0.07037399709224701,7,,,,,,,,
0.0001,1149,,,,,,,,,,,,,
,1149,0.4126248061656952,2.6692404747009277,0.006888075731694698,0.13881269097328186,7,,,,,,,,
0.0001,1199,,,,,,,,,,,,,
,1199,0.30568644404411316,2.0702226161956787,0.00949351117014885,0.0891706570982933,7,,,,,,,,
0.0001,1249,,,,,,,,,,,,,
,1249,0.29233384132385254,1.7304949760437012,0.009623592719435692,0.10966076701879501,7,,,,,,,,
,1255,,,,,7,0.41115066409111023,2.8196630477905273,0.01795537769794464,0.11122894287109375,,,,
,1255,,,,,7,,,,,0.3967394530773163,2.7059433460235596,0.012398111633956432,0.11374692618846893
0.0001,1299,,,,,,,,,,,,,
