lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch
5e-05,49,,,,,,,,,,,,,
,49,0.5104182958602905,4.187877655029297,0.00803238432854414,0.08359813690185547,0,,,,,,,,
5e-05,99,,,,,,,,,,,,,
,99,0.6110917329788208,5.085028171539307,0.010775502771139145,0.09181345999240875,0,,,,,,,,
5e-05,149,,,,,,,,,,,,,
,149,0.3244810104370117,1.9425816535949707,0.009419466368854046,0.1208033636212349,0,,,,,,,,
,156,,,,,0,0.40047991275787354,2.774425983428955,0.01226618979126215,0.11077116429805756,,,,
,156,,,,,0,,,,,0.417545348405838,2.8412013053894043,0.013774066232144833,0.11965120583772659
5e-05,199,,,,,,,,,,,,,
,199,0.3495168387889862,2.4821271896362305,0.005110723432153463,0.09619339555501938,1,,,,,,,,
5e-05,249,,,,,,,,,,,,,
,249,0.39626485109329224,3.0998575687408447,0.007195935118943453,0.07908317446708679,1,,,,,,,,
5e-05,299,,,,,,,,,,,,,
,299,0.32324421405792236,1.885472297668457,0.018492311239242554,0.11620470881462097,1,,,,,,,,
,313,,,,,1,0.3995569050312042,2.8591110706329346,0.012263678945600986,0.10138220340013504,,,,
,313,,,,,1,,,,,0.412814199924469,2.9281482696533203,0.012003623880445957,0.10799591988325119
5e-05,349,,,,,,,,,,,,,
,349,0.38991913199424744,2.8260791301727295,0.010445675812661648,0.09686550498008728,2,,,,,,,,
5e-05,399,,,,,,,,,,,,,
,399,0.3541199564933777,2.095104455947876,0.007909002713859081,0.13670051097869873,2,,,,,,,,
5e-05,449,,,,,,,,,,,,,
,449,0.5253476500511169,4.328403949737549,0.0055285110138356686,0.08697874844074249,2,,,,,,,,
,470,,,,,2,0.39827266335487366,2.762680768966675,0.01347624696791172,0.10852839797735214,,,,
,470,,,,,2,,,,,0.39344826340675354,2.7571873664855957,0.011817271821200848,0.10591234266757965
5e-05,499,,,,,,,,,,,,,
,499,0.29761072993278503,1.7248164415359497,0.009585512802004814,0.11554358154535294,3,,,,,,,,
5e-05,549,,,,,,,,,,,,,
,549,0.40382689237594604,2.9624576568603516,0.007451241835951805,0.10012988746166229,3,,,,,,,,
5e-05,599,,,,,,,,,,,,,
,599,0.41251111030578613,2.8529653549194336,0.012866419740021229,0.11434818804264069,3,,,,,,,,
,627,,,,,3,0.4146018624305725,3.014737129211426,0.011027761735022068,0.10210037976503372,,,,
,627,,,,,3,,,,,0.40233102440834045,2.864414930343628,0.013567675836384296,0.10232178866863251
5e-05,649,,,,,,,,,,,,,
,649,0.6110317707061768,4.799881935119629,0.010661325417459011,0.1203821450471878,4,,,,,,,,
5e-05,699,,,,,,,,,,,,,
,699,0.31433045864105225,2.0519165992736816,0.010290275327861309,0.09884852916002274,4,,,,,,,,
5e-05,749,,,,,,,,,,,,,
,749,0.3512774109840393,2.2924306392669678,0.004198567941784859,0.11783581972122192,4,,,,,,,,
,784,,,,,4,0.4100906550884247,2.871434211730957,0.013879736885428429,0.10906744748353958,,,,
,784,,,,,4,,,,,0.4056752324104309,2.8899595737457275,0.011859158985316753,0.10482008010149002
5e-05,799,,,,,,,,,,,,,
,799,0.35827672481536865,2.8715853691101074,0.008659041486680508,0.06245916336774826,5,,,,,,,,
5e-05,849,,,,,,,,,,,,,
,849,0.48006129264831543,3.6741719245910645,0.016630250960588455,0.0960138589143753,5,,,,,,,,
5e-05,899,,,,,,,,,,,,,
,899,0.5930681228637695,4.846860885620117,0.021293412894010544,0.08708863705396652,5,,,,,,,,
,941,,,,,5,0.411709189414978,2.980938196182251,0.012242065742611885,0.10137335956096649,,,,
,941,,,,,5,,,,,0.40162336826324463,2.8908798694610596,0.011416350491344929,0.10111907869577408
5e-05,949,,,,,,,,,,,,,
,949,0.5037970542907715,3.820110559463501,0.007460103835910559,0.11432589590549469,6,,,,,,,,
5e-05,999,,,,,,,,,,,,,
,999,0.45487162470817566,3.6208267211914062,0.009930206462740898,0.08285874873399734,6,,,,,,,,
5e-05,1049,,,,,,,,,,,,,
,1049,0.35057681798934937,2.594931125640869,0.005705251358449459,0.08537843078374863,6,,,,,,,,
,1098,,,,,6,0.39980340003967285,2.7665233612060547,0.01138982456177473,0.11176125705242157,,,,
,1098,,,,,6,,,,,0.4082351326942444,2.904827356338501,0.012260529212653637,0.10549192875623703
5e-05,1099,,,,,,,,,,,,,
,1099,0.34133219718933105,2.5498275756835938,0.008440429344773293,0.07790897786617279,7,,,,,,,,
5e-05,1149,,,,,,,,,,,,,
,1149,0.3949092626571655,2.905158042907715,0.008716795593500137,0.09567670524120331,7,,,,,,,,
5e-05,1199,,,,,,,,,,,,,
,1199,0.3600623309612274,2.484494924545288,0.008170953020453453,0.10344186425209045,7,,,,,,,,
5e-05,1249,,,,,,,,,,,,,
,1249,0.33973947167396545,2.275970458984375,0.05165963992476463,0.06048276647925377,7,,,,,,,,
,1255,,,,,7,0.38198548555374146,2.7459940910339355,0.01009715162217617,0.09728889912366867,,,,
,1255,,,,,7,,,,,0.4018300175666809,2.847602605819702,0.012047582305967808,0.10502221435308456
5e-05,1299,,,,,,,,,,,,,
,1299,0.41197407245635986,3.138151168823242,0.03347935900092125,0.06467956304550171,8,,,,,,,,
5e-05,1349,,,,,,,,,,,,,
,1349,0.34671518206596375,2.2322895526885986,0.007850335910916328,0.11563587933778763,8,,,,,,,,
5e-05,1399,,,,,,,,,,,,,
,1399,0.5792725086212158,4.4997053146362305,0.008657005615532398,0.12064500153064728,8,,,,,,,,
,1412,,,,,8,0.39846912026405334,2.8303592205047607,0.009780708700418472,0.10565248876810074,,,,
,1412,,,,,8,,,,,0.38930976390838623,2.73886775970459,0.011318053118884563,0.10410505533218384
5e-05,1449,,,,,,,,,,,,,
,1449,0.35921967029571533,2.31923508644104,0.004659286700189114,0.12263688445091248,9,,,,,,,,
5e-05,1499,,,,,,,,,,,,,
,1499,0.5132584571838379,4.003696441650391,0.00965414009988308,0.10323466360569,9,,,,,,,,
5e-05,1549,,,,,,,,,,,,,
,1549,0.44366464018821716,3.62800931930542,0.005774820223450661,0.07508890330791473,9,,,,,,,,
,1569,,,,,9,0.41086545586586,2.936660051345825,0.01106895599514246,0.10613055527210236,,,,
,1569,,,,,9,,,,,0.39938631653785706,2.8458030223846436,0.01085450779646635,0.10395155102014542
5e-05,1599,,,,,,,,,,,,,
,1599,0.4271683394908905,3.1311769485473633,0.008611710742115974,0.1054389625787735,10,,,,,,,,
5e-05,1649,,,,,,,,,,,,,
,1649,0.34546130895614624,2.0939981937408447,0.018207944929599762,0.11785353720188141,10,,,,,,,,
5e-05,1699,,,,,,,,,,,,,
,1699,0.36658185720443726,2.192884922027588,0.0028405943885445595,0.1444527804851532,10,,,,,,,,
,1726,,,,,10,0.41030997037887573,2.9334046840667725,0.012219533324241638,0.10475000739097595,,,,
,1726,,,,,10,,,,,0.38840022683143616,2.758179187774658,0.011134395375847816,0.10144775360822678
5e-05,1749,,,,,,,,,,,,,
,1749,0.47761815786361694,3.71793270111084,0.008091853000223637,0.0977330133318901,11,,,,,,,,
5e-05,1799,,,,,,,,,,,,,
,1799,0.4622887372970581,3.424604892730713,0.008706707507371902,0.11112155020236969,11,,,,,,,,
5e-05,1849,,,,,,,,,,,,,
,1849,0.40334394574165344,2.9064536094665527,0.009773454628884792,0.10292511433362961,11,,,,,,,,
,1883,,,,,11,0.39507800340652466,2.7936601638793945,0.009963423945009708,0.10574854910373688,,,,
,1883,,,,,11,,,,,0.40312284231185913,2.9213807582855225,0.010569439269602299,0.10041531920433044
5e-05,1899,,,,,,,,,,,,,
,1899,0.4894441068172455,3.9314637184143066,0.037608109414577484,0.058689624071121216,12,,,,,,,,
5e-05,1949,,,,,,,,,,,,,
,1949,0.40209394693374634,3.0807244777679443,0.018247943371534348,0.07577352970838547,12,,,,,,,,
5e-05,1999,,,,,,,,,,,,,
,1999,0.5069983005523682,4.003543376922607,0.008116379380226135,0.09852756559848785,12,,,,,,,,
,2040,,,,,12,0.4056353271007538,2.8049979209899902,0.012145373970270157,0.11299016326665878,,,,
,2040,,,,,12,,,,,0.40066179633140564,2.896806240081787,0.010450160130858421,0.10053104162216187
5e-05,2049,,,,,,,,,,,,,
,2049,0.3376774191856384,2.2139508724212646,0.006091773975640535,0.11019058525562286,13,,,,,,,,
5e-05,2099,,,,,,,,,,,,,
,2099,0.3641977906227112,2.732481002807617,0.010984714142978191,0.07996495068073273,13,,,,,,,,
5e-05,2149,,,,,,,,,,,,,
,2149,0.46128445863723755,3.688042402267456,0.004200756549835205,0.08827944099903107,13,,,,,,,,
,2197,,,,,13,0.405204713344574,2.8719193935394287,0.010510887019336224,0.10750181972980499,,,,
,2197,,,,,13,,,,,0.3991197347640991,2.876307725906372,0.011456593871116638,0.10003224015235901
5e-05,2199,,,,,,,,,,,,,
,2199,0.32974186539649963,2.101383686065674,0.008231371641159058,0.11137209832668304,14,,,,,,,,
5e-05,2249,,,,,,,,,,,,,
,2249,0.275968074798584,1.5854920148849487,0.005369169171899557,0.11204972863197327,14,,,,,,,,
5e-05,2299,,,,,,,,,,,,,
,2299,0.24719735980033875,1.575921654701233,0.006280302070081234,0.08332488685846329,14,,,,,,,,
5e-05,2349,,,,,,,,,,,,,
,2349,0.4675481617450714,3.2615866661071777,0.004565776325762272,0.13682371377944946,14,,,,,,,,
,2354,,,,,14,0.4151671528816223,3.021205186843872,0.011298497207462788,0.10174819827079773,,,,
,2354,,,,,14,,,,,0.4003705680370331,2.861849069595337,0.011367648839950562,0.102818064391613
5e-05,2399,,,,,,,,,,,,,
,2399,0.35057830810546875,2.3294639587402344,0.005589761771261692,0.1120421513915062,15,,,,,,,,
5e-05,2449,,,,,,,,,,,,,
,2449,0.38581693172454834,2.556147575378418,0.009499946609139442,0.12070219963788986,15,,,,,,,,
5e-05,2499,,,,,,,,,,,,,
,2499,0.32689177989959717,2.1242408752441406,0.005633313674479723,0.10883437842130661,15,,,,,,,,
,2511,,,,,15,0.40357711911201477,2.9370276927948,0.00970411952584982,0.1001703143119812,,,,
,2511,,,,,15,,,,,0.3932209610939026,2.8171608448028564,0.01032340433448553,0.10118143260478973
5e-05,2549,,,,,,,,,,,,,
,2549,0.43742287158966064,2.978604555130005,0.0046843914315104485,0.134878009557724,16,,,,,,,,
5e-05,2599,,,,,,,,,,,,,
,2599,0.4063536524772644,3.084197998046875,0.009930494241416454,0.08800338208675385,16,,,,,,,,
5e-05,2649,,,,,,,,,,,,,
,2649,0.5853581428527832,4.615280628204346,0.010948716662824154,0.11288133263587952,16,,,,,,,,
,2668,,,,,16,0.40590763092041016,2.9278221130371094,0.011593871749937534,0.10153163969516754,,,,
,2668,,,,,16,,,,,0.3968261778354645,2.835092306137085,0.011616410687565804,0.10170058906078339
5e-05,2699,,,,,,,,,,,,,
,2699,0.3186444044113159,2.1448302268981934,0.008764122612774372,0.09539724886417389,17,,,,,,,,
5e-05,2749,,,,,,,,,,,,,
,2749,0.39491429924964905,3.24050235748291,0.006227137055248022,0.06463693082332611,17,,,,,,,,
5e-05,2799,,,,,,,,,,,,,
,2799,0.3079553544521332,2.1187562942504883,0.014546244405210018,0.08153347671031952,17,,,,,,,,
,2825,,,,,17,0.3945152163505554,2.789783477783203,0.015001730062067509,0.10053515434265137,,,,
,2825,,,,,17,,,,,0.3924512565135956,2.812105417251587,0.010411949828267097,0.10082870721817017
5e-05,2849,,,,,,,,,,,,,
,2849,0.4701496958732605,3.5710036754608154,0.007922554388642311,0.1051267459988594,18,,,,,,,,
5e-05,2899,,,,,,,,,,,,,
,2899,0.35237741470336914,2.6968297958374023,0.008279955014586449,0.07441446930170059,18,,,,,,,,
5e-05,2949,,,,,,,,,,,,,
