lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,,,loss_train,loss_val
,1299,0.533049464,3.318983078,0.022671415,0.178479731,8,,,,,,,,,,68,0.446539462,0.392456084
0.0001,1349,,,,,,,,,,,,,,,69,0.460523307,0.409564555
,1349,0.616780579,2.656059265,0.021551568,0.329623103,8,,,,,,,,,,70,0.467135459,0.422056466
,1385,,,,,8,0.413181931,2.779018641,0.016311292,0.118968725,,,,,,71,0.468619347,0.407347918
,1385,,,,,8,,,,,0.477394968,3.371721745,0.014842806,0.12537989,,72,0.45430401,0.409879476
0.0001,1399,,,,,,,,,,,,,,,73,0.439166933,0.400535613
,1399,0.527660072,3.287389278,0.06167642,0.137244716,9,,,,,,,,,,74,0.454971313,0.408389241
0.0001,1449,,,,,,,,,,,,,,,75,0.454473466,0.397303432
,1449,0.609877169,4.445949554,0.025101982,0.14018023,9,,,,,,,,,,76,0.451604038,0.412594974
0.0001,1499,,,,,,,,,,,,,,,77,0.480871558,0.411301076
,1499,0.828073382,6.679904938,0.019841127,0.140241712,9,,,,,,,,,,78,0.452150285,0.42601645
,1539,,,,,9,0.427180052,2.961328745,0.011925139,0.119122073,,,,,,79,0.452961951,0.416348547
,1539,,,,,9,,,,,0.489248842,3.539749384,0.016680242,0.118593663,,80,0.465561002,0.423361331
0.0001,1549,,,,,,,,,,,,,,,81,0.470306873,0.404375613
,1549,0.428372651,3.391074657,0.013395983,0.075869188,10,,,,,,,,,,82,0.454920262,0.415691674
0.0001,1599,,,,,,,,,,,,,,,83,0.46544084,0.426439881
,1599,0.374291658,2.383717775,0.005784438,0.130135477,10,,,,,,,,,,84,0.463647813,0.435591817
0.0001,1649,,,,,,,,,,,,,,,85,0.465601683,0.40383786
,1649,0.514084578,4.209908485,0.028475095,0.06461864,10,,,,,,,,,,86,0.472517043,0.387497753
,1693,,,,,10,0.382048011,2.651266098,0.008673915,0.108247437,,,,,,87,0.461620033,0.415174097
,1693,,,,,10,,,,,0.464755088,3.26694417,0.01537332,0.12268734,,88,0.44876489,0.420298249
0.0001,1699,,,,,,,,,,,,,,,89,0.461874008,0.416589797
,1699,0.443073064,2.916438103,0.016036298,0.135392964,11,,,,,,,,,,90,0.45440805,0.394316852
0.0001,1749,,,,,,,,,,,,,,,91,0.448659718,0.416953236
,1749,0.341714531,2.38281703,0.003287598,0.100145243,11,,,,,,,,,,92,0.461495191,0.398350596
0.0001,1799,,,,,,,,,,,,,,,93,0.45834285,0.409029335
