loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,epoch,step,lr-Adam,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_step,loss_val
,,,,,999,1.00E-06,,,,,,,,,71,3.159902334,
,,,,27,999,,2.306621552,20.99607086,0.141625091,0.065389223,,,,,72,0.106475659,
1.83045876,13.85667801,0.074014768,0.370776206,27,1007,,,,,,,,,,73,1.813977838,2.394138813
1.829083323,13.18541431,0.075318903,0.435222983,28,1043,,,,,,,,,,74,0.761300445,
,,,,,1049,1.00E-06,,,,,,,,,75,1.066479087,
,,,,29,1049,,0.856200039,7.016016483,0.015078002,0.139520377,,,,,76,2.513922691,2.114511251
,,,,29,1079,,,,,,2.758884192,23.1850872,0.047214754,0.393160611,77,3.81174159,
1.774379492,13.01249504,0.064047828,0.409082174,29,1079,,,,,,,,,,78,1.111508965,
,,,,,1099,1.00E-06,,,,,,,,,79,0.419359952,3.012551308
,,,,30,1099,,4.617923737,31.27035713,0.403453976,1.087433815,,,,,80,1.93914628,
1.717876434,12.30008125,0.096480526,0.391387999,30,1115,,,,,,,,,,81,1.010832787,
,,,,,1149,1.00E-06,,,,,,,,,82,1.840422273,2.162410975
,,,,31,1149,,0.456264973,4.205714226,0.035265971,0.00042754,,,,,83,0.70766747,
2.250028133,18.13333321,0.112061448,0.324632972,31,1151,,,,,,,,,,84,0.37673378,
1.925448537,14.47008896,0.084959589,0.393480301,32,1187,,,,,,,,,,85,3.898972034,1.795798421
,,,,,1199,1.00E-06,,,,,,,,,86,4.323267937,
,,,,33,1199,,1.630638838,13.77818775,0.169914171,0.082905978,,,,,87,1.811422706,
1.931352019,14.76990891,0.07627371,0.378087103,33,1223,,,,,,,,,,88,3.695583344,1.792176604
,,,,,1249,1.00E-06,,,,,,,,,89,0.28243053,
,,,,34,1249,,1.698264003,9.263802528,0.002644404,0.769239366,,,,,90,0.568493545,
,,,,34,1259,,,,,,2.464560986,20.64574623,0.101412445,0.298573911,91,3.659302711,2.886292458
2.072804451,16.72971344,0.077452362,0.322380722,34,1259,,,,,,,,,,92,0.580391765,
1.661761403,12.82237911,0.054949049,0.3245745,35,1295,,,,,,,,,,93,0.323246956,
,,,,,1299,1.00E-06,,,,,,,,,94,0.204250365,2.163229227
,,,,36,1299,,0.215887576,1.240866542,0.073844627,0.017956294,,,,,95,2.828343868,
