iter	Passed	Remaining
206	927	3551
207	931	3546
208	936	3543
209	941	3540
210	945	3536
211	951	3535
212	956	3532
213	960	3527
214	965	3525
215	970	3520
216	974	3516
217	978	3509
218	983	3508
219	988	3503
220	992	3497
221	996	3493
222	1001	3489
223	1005	3484
224	1010	3479
225	1015	3477
226	1020	3473
227	1024	3469
228	1029	3464
229	1033	3459
230	1037	3453
231	1041	3446
232	1045	3440
233	1049	3435
234	1053	3429
235	1057	3423
236	1061	3418
237	1066	3413
238	1070	3408
239	1074	3402
240	1079	3398
241	1083	3394
242	1088	3389
243	1092	3385
244	1097	3382
245	1102	3377
246	1106	3373
247	1111	3369
248	1115	3365
249	1119	3359
250	1124	3354
251	1129	3352
252	1133	3347
253	1137	3341
254	1142	3338
255	1146	3332
256	1150	3327
257	1154	3321
258	1159	3317
259	1164	3313
260	1168	3308
261	1172	3302
262	1177	3298
263	1181	3294
264	1185	3287
265	1189	3282
266	1193	3277
267	1197	3271
268	1201	3264
269	1206	3260
270	1210	3256
271	1214	3251
272	1219	3247
273	1224	3243
274	1229	3240
275	1233	3236
276	1238	3232
277	1243	3228
278	1247	3223
279	1251	3218
280	1256	3214
281	1260	3210
282	1265	3205
283	1268	3198
284	1273	3193
285	1277	3188
286	1281	3183
287	1285	3179
288	1290	3175
289	1294	3170
290	1299	3165
291	1304	3162
292	1308	3157
293	1312	3152
294	1316	3147
295	1321	3142
296	1325	3138
297	1329	3132
298	1333	3126
299	1338	3123
300	1342	3118
301	1347	3113
302	1351	3109
303	1356	3106
304	1361	3101
305	1365	3097
306	1370	3094
307	1375	3090
308	1379	3085
309	1384	3080
310	1389	3077
311	1393	3072
312	1397	3066
313	1401	3062
314	1406	3058
315	1410	3053
316	1414	3048
317	1419	3044
318	1423	3038
319	1427	3033
320	1431	3028
321	1436	3023
322	1440	3019
323	1444	3014
324	1449	3009
325	1453	3004
326	1457	2999
327	1461	2993
328	1465	2989
329	1469	2984
330	1474	2979
331	1478	2974
332	1483	2970
333	1488	2967
334	1492	2962
335	1497	2958
336	1501	2954
337	1505	2949
338	1509	2943
339	1514	2939
340	1518	2934
341	1522	2929
342	1527	2925
343	1532	2921
344	1536	2917
345	1540	2911
346	1544	2906
347	1549	2903
348	1554	2899
349	1558	2894
350	1563	2890
351	1567	2886
352	1571	2880
353	1575	2875
354	1581	2872
355	1585	2867
356	1588	2861
357	1592	2856
358	1597	2852
359	1601	2847
360	1605	2842
361	1610	2838
362	1615	2834
363	1619	2830
364	1624	2825
365	1628	2821
366	1632	2816
367	1637	2811
368	1641	2806
369	1645	2802
370	1649	2797
371	1654	2792
372	1658	2788
373	1663	2784
374	1667	2779
375	1671	2774
376	1676	2770
377	1680	2766
378	1685	2761
379	1689	2755
380	1693	2751
381	1697	2746
382	1702	2742
383	1706	2737
384	1711	2733
385	1715	2728
386	1719	2723
387	1723	2719
388	1728	2714
389	1732	2709
390	1736	2704
391	1741	2700
392	1745	2695
393	1750	2692
394	1754	2687
395	1759	2684
396	1764	2679
397	1768	2675
398	1773	2671
399	1777	2666
400	1781	2661
401	1786	2657
402	1790	2651
403	1794	2646
404	1798	2641
405	1802	2636
406	1806	2632
407	1810	2627
408	1814	2622
409	1819	2617
410	1823	2613
411	1827	2607
412	1831	2602
413	1835	2598
414	1839	2593
415	1843	2588
416	1847	2583
417	1851	2578
418	1855	2573
419	1859	2568
420	1863	2563
421	1867	2558
422	1872	2554
423	1876	2548
424	1880	2543
425	1884	2539
426	1889	2535
427	1894	2531
428	1898	2526
429	1902	2522
430	1907	2518
431	1911	2513
432	1916	2509
433	1921	2505
434	1925	2501
435	1929	2496
436	1934	2492
437	1939	2487
438	1943	2483
439	1947	2478
440	1952	2475
441	1956	2470
442	1961	2465
443	1966	2461
444	1970	2457
445	1974	2453
446	1978	2448
447	1984	2445
448	1988	2440
449	1992	2435
450	1997	2431
451	2001	2427
452	2006	2422
453	2010	2418
454	2014	2413
455	2018	2408
456	2022	2403
457	2027	2399
458	2032	2395
459	2036	2391
460	2041	2386
461	2046	2382
462	2050	2378
463	2055	2374
464	2059	2370
465	2065	2366
466	2069	2361
467	2073	2357
468	2078	2353
469	2082	2348
470	2087	2344
471	2091	2339
472	2095	2335
473	2100	2330
474	2104	2325
475	2108	2321
476	2113	2317
477	2118	2313
478	2122	2308
479	2126	2304
480	2131	2299
481	2135	2294
482	2139	2290
483	2144	2286
484	2149	2282
485	2153	2277
486	2158	2273
487	2162	2269
488	2167	2264
489	2171	2260
490	2176	2255
491	2181	2252
492	2185	2247
493	2190	2243
494	2195	2239
495	2200	2235
496	2204	2231
497	2209	2227
498	2213	2222
499	2217	2217
500	2221	2212
501	2226	2208
502	2230	2204
503	2234	2199
504	2239	2195
505	2243	2190
506	2248	2186
507	2252	2181
508	2257	2177
509	2261	2172
510	2265	2168
511	2269	2163
512	2274	2158
513	2278	2154
514	2282	2149
515	2287	2145
516	2291	2140
517	2295	2135
518	2299	2131
519	2304	2127
520	2308	2122
521	2312	2117
522	2317	2113
523	2322	2109
524	2326	2104
525	2330	2100
526	2335	2096
527	2340	2092
528	2344	2087
529	2348	2082
530	2352	2077
531	2356	2073
532	2361	2068
533	2365	2064
534	2370	2059
535	2374	2055
536	2378	2050
537	2382	2045
538	2386	2041
539	2391	2036
540	2395	2032
541	2399	2027
542	2403	2023
543	2407	2018
544	2411	2013
545	2417	2009
546	2421	2005
547	2426	2001
548	2429	1996
549	2435	1992
550	2440	1988
551	2444	1983
552	2449	1979
553	2454	1975
554	2458	1971
555	2462	1966
556	2467	1962
557	2471	1957
558	2475	1953
559	2479	1948
560	2484	1943
561	2488	1939
562	2492	1934
563	2497	1930
564	2501	1926
565	2505	1921
566	2510	1917
567	2515	1913
568	2520	1909
569	2525	1904
570	2530	1901
571	2534	1896
572	2539	1892
573	2543	1887
574	2548	1883
575	2552	1879
576	2557	1874
577	2561	1870
578	2565	1865
579	2570	1861
580	2574	1856
581	2578	1852
582	2583	1848
583	2588	1843
584	2592	1839
585	2597	1835
586	2601	1830
587	2606	1826
588	2611	1822
589	2616	1818
590	2620	1813
591	2625	1809
592	2630	1805
593	2635	1801
594	2640	1796
595	2645	1793
596	2649	1788
597	2654	1784
598	2659	1780
599	2663	1775
600	2667	1771
601	2672	1766
602	2676	1762
603	2680	1757
604	2685	1753
605	2689	1748
606	2694	1744
607	2698	1739
608	2702	1735
609	2707	1731
610	2712	1726
611	2716	1722
612	2721	1718
613	2726	1714
614	2731	1710
615	2736	1705
616	2741	1701
617	2746	1697
618	2750	1693
619	2755	1688
620	2760	1684
621	2764	1679
622	2768	1675
623	2773	1671
624	2777	1666
625	2781	1661
626	2785	1657
627	2790	1652
628	2794	1647
629	2797	1643
630	2801	1638
631	2806	1634
632	2811	1629
633	2814	1625
634	2819	1620
635	2823	1615
636	2827	1611
637	2831	1606
638	2836	1602
639	2840	1597
640	2844	1593
641	2848	1588
642	2853	1584
643	2858	1579
644	2863	1575
645	2868	1571
646	2873	1567
647	2878	1563
648	2882	1559
649	2888	1555
650	2892	1550
651	2896	1546
652	2901	1542
653	2906	1537
654	2911	1533
655	2916	1529
656	2921	1525
657	2925	1520
658	2929	1516
659	2934	1511
660	2938	1507
661	2942	1502
662	2946	1497
663	2951	1493
664	2956	1489
665	2960	1484
666	2965	1480
667	2969	1475
668	2973	1471
669	2977	1466
670	2982	1462
671	2986	1457
672	2991	1453
673	2995	1448
674	3000	1444
675	3004	1440
676	3008	1435
677	3013	1431
678	3018	1426
679	3022	1422
680	3027	1418
681	3032	1413
682	3036	1409
683	3040	1404
684	3045	1400
685	3049	1395
686	3054	1391
687	3058	1386
688	3063	1382
689	3067	1378
690	3071	1373
691	3074	1368
692	3079	1364
693	3083	1359
694	3087	1354
695	3091	1350
696	3096	1346
697	3101	1341
698	3105	1337
699	3110	1332
700	3114	1328
701	3118	1323
702	3123	1319
703	3128	1315
704	3132	1310
705	3137	1306
706	3142	1302
707	3147	1297
708	3151	1293
709	3156	1289
710	3160	1284
711	3165	1280
712	3169	1275
713	3174	1271
714	3178	1266
715	3182	1262
716	3186	1257
717	3191	1253
718	3196	1249
719	3200	1244
720	3204	1239
721	3209	1235
722	3213	1231
723	3217	1226
724	3222	1222
725	3227	1217
726	3231	1213
727	3235	1208
728	3240	1204
729	3244	1200
730	3249	1195
731	3253	1191
732	3258	1186
733	3263	1182
734	3267	1177
735	3272	1173
736	3276	1169
737	3280	1164
738	3285	1160
739	3290	1156
740	3294	1151
741	3298	1146
742	3302	1142
743	3306	1137
744	3310	1133
745	3314	1128
746	3320	1124
747	3324	1120
748	3328	1115
749	3332	1110
750	3338	1106
751	3342	1102
752	3346	1097
753	3350	1093
754	3355	1088
755	3359	1084
756	3363	1079
757	3368	1075
758	3372	1070
759	3376	1066
760	3380	1061
761	3385	1057
762	3389	1052
763	3394	1048
764	3399	1044
765	3403	1039
766	3408	1035
767	3412	1030
768	3417	1026
769	3422	1022
770	3427	1017
771	3432	1013
772	3436	1009
773	3441	1004
774	3445	1000
775	3450	995
776	3454	991
777	3459	987
778	3463	982
779	3468	978
780	3472	973
781	3475	968
782	3480	964
783	3484	960
784	3488	955
785	3492	950
786	3497	946
787	3501	942
788	3505	937
789	3509	933
790	3514	928
791	3519	924
792	3523	919
793	3527	915
794	3532	911
795	3537	906
796	3541	901
797	3545	897
798	3550	893
799	3554	888
800	3559	884
801	3564	880
802	3568	875
803	3573	871
804	3578	866
805	3582	862
806	3587	857
807	3591	853
808	3596	849
809	3600	844
810	3604	840
811	3609	835
812	3614	831
813	3618	826
814	3622	822
815	3627	818
816	3632	813
817	3636	809
818	3640	804
819	3645	800
820	3649	795
821	3653	791
822	3658	786
823	3662	782
824	3666	777
825	3671	773
826	3675	768
827	3680	764
828	3684	760
829	3689	755
830	3694	751
831	3698	746
832	3703	742
833	3708	738
834	3712	733
835	3717	729
836	3722	724
837	3727	720
838	3731	716
839	3736	711
840	3741	707
841	3745	702
842	3750	698
843	3755	694
844	3759	689
845	3764	685
846	3768	680
847	3773	676
848	3778	672
849	3782	667
850	3787	663
851	3792	658
852	3796	654
853	3801	649
854	3806	645
855	3810	640
856	3814	636
857	3819	632
858	3824	627
859	3828	623
860	3833	618
861	3838	614
862	3843	610
863	3847	605
864	3853	601
865	3857	596
866	3861	592
867	3866	588
868	3871	583
869	3875	579
870	3880	574
871	3885	570
872	3889	565
873	3893	561
874	3898	556
875	3903	552
876	3907	548
877	3911	543
878	3917	539
879	3921	534
880	3925	530
881	3930	525
882	3934	521
883	3939	516
884	3944	512
885	3949	508
886	3953	503
887	3958	499
888	3963	494
889	3968	490
890	3974	486
891	3979	481
892	3984	477
893	3988	472
894	3993	468
895	3998	464
896	4003	459
897	4007	455
898	4011	450
899	4016	446
900	4020	441
901	4024	437
902	4028	432
903	4032	428
904	4037	423
905	4041	419
906	4046	414
907	4050	410
908	4054	405
909	4059	401
910	4063	397
911	4067	392
912	4072	388
913	4077	383
914	4082	379
915	4087	374
916	4092	370
917	4096	365
918	4101	361
919	4106	357
920	4111	352
921	4116	348
922	4120	343
923	4125	339
924	4129	334
925	4133	330
926	4138	325
927	4143	321
928	4147	317
929	4152	312
930	4157	308
931	4162	303
932	4166	299
933	4171	294
934	4176	290
935	4180	285
936	4184	281
937	4189	276
938	4194	272
939	4198	267
940	4203	263
941	4207	259
942	4212	254
943	4217	250
944	4222	245
945	4226	241
946	4232	236
947	4237	232
948	4242	228
949	4247	223
950	4251	219
951	4256	214
952	4261	210
953	4265	205
954	4270	201
955	4275	196
956	4279	192
957	4284	187
958	4289	183
959	4294	178
960	4298	174
961	4304	170
962	4308	165
963	4313	161
964	4318	156
965	4322	152
966	4327	147
967	4331	143
968	4336	138
969	4340	134
970	4344	129
971	4349	125
972	4354	120
973	4358	116
974	4362	111
975	4367	107
976	4373	102
977	4378	98
978	4383	94
979	4388	89
980	4392	85
981	4397	80
982	4401	76
983	4406	71
984	4410	67
985	4415	62
986	4419	58
987	4423	53
988	4427	49
989	4432	44
990	4436	40
991	4440	35
992	4444	31
993	4449	26
994	4453	22
995	4457	17
996	4461	13
997	4466	8
998	4470	4
999	4474	0
