lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_epoch,loss_val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,539,,,,,9,,,,,1.338017821,11.43036175,0.031054884,0.163926587,31,1.463289142,0.915354848,151,0.915354848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,539,,,,,9,1.802584052,15.07909107,0.052879669,0.241795152,,,,,32,1.653089285,0.630004883,156,0.630004883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,549,,,,,,,,,,,,,,33,1.156469941,0.984775245,161,0.984775245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,3.902911425,32.7397995,0.06869784,0.560233474,10,,,,,,,,,34,1.455188513,0.881539643,166,0.881539643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,593,,,,,10,1.700683713,13.6264143,0.079244107,0.258798003,,,,,35,1.162177444,1.172403455,171,1.172403455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,599,,,,,,,,,,,,,,36,1.3637743,1.099392176,176,1.099392176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.195687175,1.687935114,0.008537633,0.018356031,11,,,,,,,,,37,1.238521695,0.872945905,181,0.872945905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,647,,,,,11,1.825533032,15.3207283,0.050918851,0.242540807,,,,,38,1.514990807,0.681906998,186,0.681906998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,649,,,,,,,,,,,,,,39,1.239041924,0.913360953,191,0.913360953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,1.36823988,8.707501411,0.012130033,0.485359758,12,,,,,,,,,40,1.131525993,1.280505776,196,1.280505776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,699,,,,,,,,,,,,,,41,1.230689883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
