loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,epoch,step,lr-Adam,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_val,pos_val,cell_val,atomic_numbers_val
2.7180936336517334,22.061561584472656,0.12570787966251373,0.3862302601337433,0,47,,,,,,,,,
,,,,,49,1e-06,,,,,,,,
,,,,1,49,,9.625299453735352,84.60914611816406,0.4081020951271057,0.7562831044197083,,,,
2.7024011611938477,22.289241790771484,0.09254756569862366,0.38092944025993347,1,95,,,,,,,,,
,,,,,99,1e-06,,,,,,,,
,,,,2,99,,0.7436964511871338,0.7299507260322571,0.01881311647593975,0.6518882513046265,,,,
2.52335262298584,19.219173431396484,0.0932110920548439,0.5082243084907532,2,143,,,,,,,,,
,,,,,149,1e-06,,,,,,,,
,,,,3,149,,1.2504241466522217,5.324799537658691,0.010983897373080254,0.7069603204727173,,,,
2.5131919384002686,18.933883666992188,0.10541524738073349,0.5143885016441345,3,191,,,,,,,,,
,,,,,199,1e-06,,,,,,,,
,,,,4,199,,3.6304426193237305,34.437522888183594,0.04587116092443466,0.1408190131187439,,,,
,,,,4,239,,,,,,2.2295944690704346,17.596149444580078,0.08636878430843353,0.38361090421676636
2.5576987266540527,20.057462692260742,0.11282854527235031,0.4391240179538727,4,239,,,,,,,,,
,,,,,249,1e-06,,,,,,,,
,,,,5,249,,0.478294312953949,1.3660657405853271,0.00037945169606246054,0.34130826592445374,,,,
2.769115686416626,23.352937698364258,0.1454693078994751,0.28835198283195496,5,287,,,,,,,,,
,,,,,299,1e-06,,,,,,,,
,,,,6,299,,0.579021692276001,2.8509104251861572,0.013488838449120522,0.2804417908191681,,,,
2.4897966384887695,19.656410217285156,0.1096358373761177,0.4145192503929138,6,335,,,,,,,,,
,,,,,349,1e-06,,,,,,,,
,,,,7,349,,4.635036468505859,40.18705749511719,0.07508669793605804,0.5412439107894897,,,,
2.5660223960876465,20.66668701171875,0.09593167901039124,0.4034222662448883,7,383,,,,,,,,,
,,,,,399,1e-06,,,,,,,,
,,,,8,399,,0.1311560720205307,1.2786791324615479,0.0010738589335232973,0.0022142906673252583,,,,
2.1606557369232178,16.355419158935547,0.06907428801059723,0.4560398757457733,8,431,,,,,,,,,
,,,,,449,1e-06,,,,,,,,
,,,,9,449,,2.2193686962127686,20.41112518310547,0.10091551393270493,0.07734055072069168,,,,
,,,,9,479,,,,,,2.0781540870666504,15.870183944702148,0.057588569819927216,0.4335465431213379
2.2632720470428467,16.63360595703125,0.07824833691120148,0.5216624736785889,9,479,,,,,,,,,
,,,,,499,1e-06,,,,,,,,
,,,,10,499,,2.5045130252838135,21.84556007385254,0.06872681528329849,0.2512301802635193,,,,
2.540358781814575,20.910709381103516,0.15428592264652252,0.29500219225883484,10,527,,,,,,,,,
,,,,,549,1e-06,,,,,,,,
,,,,11,549,,2.4364285469055176,22.492156982421875,0.03155376762151718,0.15565884113311768,,,,
2.5953736305236816,20.402193069458008,0.12488997727632523,0.43026405572891235,11,575,,,,,,,,,
,,,,,599,1e-06,,,,,,,,
,,,,12,599,,1.228545069694519,11.205059051513672,0.009927794337272644,0.09811142086982727,,,,
2.569897413253784,20.490476608276367,0.08377426117658615,0.4370748698711395,12,623,,,,,,,,,
,,,,,649,1e-06,,,,,,,,
,,,,13,649,,0.42868390679359436,3.7149229049682617,0.03629544377326965,0.02089616097509861,,,,
2.5723495483398438,20.651321411132812,0.09444600343704224,0.4127715528011322,13,671,,,,,,,,,
,,,,,699,1e-06,,,,,,,,
,,,,14,699,,4.680010795593262,42.621604919433594,0.038359593600034714,0.3794904351234436,,,,
,,,,14,719,,,,,,2.199387311935425,16.09136390686035,0.05713816359639168,0.5331127643585205
2.2840981483459473,17.101564407348633,0.07044794410467148,0.5034933686256409,14,719,,,,,,,,,
,,,,,749,1e-06,,,,,,,,
,,,,15,749,,2.5470616817474365,25.09666633605957,0.03671897202730179,0.0006759212119504809,,,,
2.091050863265991,15.100374221801758,0.16080981492996216,0.42020371556282043,15,767,,,,,,,,,
,,,,,799,1e-06,,,,,,,,
,,,,16,799,,2.9478321075439453,26.64677619934082,0.06568839401006699,0.21746599674224854,,,,
2.4320452213287354,18.919214248657227,0.11072345823049545,0.42940059304237366,16,815,,,,,,,,,
,,,,,849,1e-06,,,,,,,,
,,,,17,849,,1.8044692277908325,15.196586608886719,0.03850681334733963,0.2463037520647049,,,,
2.270639419555664,18.172101974487305,0.096236951649189,0.3571922183036804,17,863,,,,,,,,,
,,,,,899,1e-06,,,,,,,,
,,,,18,899,,0.32567548751831055,1.359547734260559,0.000889079412445426,0.188831627368927,,,,
2.3283560276031494,17.523399353027344,0.11460830271244049,0.461407870054245,18,911,,,,,,,,,
,,,,,949,1e-06,,,,,,,,
,,,,19,949,,2.2563235759735107,16.625476837158203,0.12609852850437164,0.4676774740219116,,,,
,,,,19,959,,,,,,1.780613660812378,14.194616317749023,0.039935167878866196,0.32121673226356506
2.255587577819824,17.039714813232422,0.19081975519657135,0.36079680919647217,19,959,,,,,,,,,
,,,,,999,1e-06,,,,,,,,
,,,,20,999,,4.088052749633789,35.63003158569336,0.14305268228054047,0.3819965422153473,,,,
